IDnumb,ID number
6Rev Ed,6 Rev Ed
Addison-Wesley Pubilshing Co.,Addison-Wesley Publishing Co.
Thomson Wardsworth,Thomson Wadsworth
Stephen Gasiriowicz,Stephen Gasiorowicz
Stephen Gasiriowicz,Stephen Gasiorowicz
Nuclear Physcis,Nuclear Physics
Nuclear Physis,Nuclear Physics
"R Resnick, K S Krane D Halaiday","R Resnick, K S Krane D Halliday"
Alex Mantwill,Alex Montwill
"Student Wkrbk Physics For Scientists And Engineers: A Strategic Approach With Modern Physics (Chs 1-42) W Mastering Physics, 1/E","Student Workbook Physics For Scientists And Engineers: A Strategic Approach With Modern Physics (Chs 1-42) W Mastering Physics, 1/E"
Wave Mecahnics,Wave Mechanics
James Donney,James Dorney
Electromagnetisim,Electromagnetism
Ml:530,Ml530
Special Relaivity,Special Relativity
Ohanians Physics Study Guide,Ohanian Physics Study Guide
Special Relaivity,Special Relativity
Wave Mecanics,Wave Mechanics
Nuclera Physics,Nuclear Physics
Nuclera Physics,Nuclear Physics
ML:530,ML530
Meterology,Meteorology
C. F. Von Weizsacker,C. F. Von Weizsäcker
Henery Margenau,Henry Margenau
Oxford At The Clarenson Press,Oxford At The Clarendon Press
G. Feildman,G. Feldman
1st PB EditionR,1st PB Edition
Arrificial Radioactivity,Artificial Radioactivity
H. J. M. Bowen,J. I. M. Bowen
Philips Electron Tube Devision,Philips Electron Tube Division
A Survey Of The Priciples And Practice Of Wave Guides,A Survey Of The Principles And Practice Of Waveguides
M. G. Scroogie,M. G. Scroggie
Advances In Radio Reasearch,Advances In Radio Research
Measurement Of Radio Isotopes,Measurement Of Radioisotopes
Microwaves And Wave Guides,Microwaves And Waveguides
D. Van Nostrad Co.,D. Van Nostrand Co.
R. Ralph Benedict,DR. Ralph Benedict
F. H. Wells,F. H. Wels
Radio Communitcation At Ultra High Frequency,Radio Communication At Ultra High Frequency
The Physical Priciples Of Wave Guide Transmission And Antenna Systems,The Physical Principles Of Waveguide Transmission And Antenna Systems
Logic Curcuits,Logic Circuits
Logic Curcuits,Logic Circuits
Radation Detectors,Radiation Detectors
An Introduction To Trasistor Circuits,An Introduction To Transistor Circuits
Samual Seely,Samuel Seely
J. Stienberger,J. Steinberger
R. Iengo,RIngo
Tynrtdew,Tyner Dew
Nuclear Physics In Photographs,Nuclear Physics In Photography
R. P. Shutt,R. P. Shuttle
R. Beeching,DR. Beeching
Emerys Williams,Emrys Williams
B. Cagnac,B. Cognac
Boltzmanns Distribution Law,Boltzmann's Distribution Law
W. Ehrenberg,WEhrenberg
G. Kallen,G. Callen
Baym Handan,Baonhandan
Generalized Co-Ordinates,Generalized Coordinates
Henery Eyring,Henry Eyring
Frederick De Hoffmann,Frederic De Hoffmann
Proceedings of the Second Marcel Grossman Meeting on General Relativity,Proceedings of the Second Marcel Grossmann Meeting on General Relativity
"The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theo: ... of Western Australia, 8-13 August, 1988","The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theory: ... of Western Australia, 8-13 August, 1988"
"The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theo: ... of Western Australia, 8-13 August, 1988","The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theory: ... of Western Australia, 8-13 August, 1988"
Almqvist And Wiksells Boktryskeri Ab,Almqvist And Wiksells Boktryckeri Ab
Bacterial Biology,Bacteria Biology
Bacterial Biology,Bacteria Biology
John Wilks,John Wilkes
Paramagetisim,Paramagnetism
Thermohydrodynamics,Thermo Hydrodynamics
Semi-Conducting Materials,Semiconducting Materials
Capillary Layer,Papillary Layer
Ferromagnetisim,Ferromagnetism
Gyromagnetism,Gyromagnetic
Ferromagnetisim,Ferromagnetism
Earths Magnetism,Earth's Magnetism
Earths Magnetism,Earth's Magnetism
D. Notz,D. Netz
Rigid Bodt Mechanics,Rigid Body Mechanics
G. Undy Yule,G. Udny Yule
R. D. Present,R. E. D. Present
R. D. Hill,R. E. D. Hill
An Introduction To Stastical Mechanics,An Introduction To Statistical Mechanics
Waste Product Managment,Waste Product Management
The Principles Of Stastical Mechanics,The Principles Of Statistical Mechanics
Muon Physics: Electromagnetic Interations,Muon Physics: Electromagnetic Interactions
Pricnciples Of Optics,Principles Of Optics
Electriity In Gases,Electricity In Gases
Flow Of Rarefied Gsaes,Flow Of Rarefied Gases
Wave Optics: Interference And Diffration,Wave Optics: Interference And Diffraction
A Text-Book Of Light,A Textbook Of Light
L. Essen,LEssen
Interferometery,Interferometry
Optical Coherence Theroy: Recent Development,Optical Coherence Theory: Recent Development
Holograpy,Holography
Opical,Optical
Introducion To Theoretical And Experimental Optics,Introduction To Theoretical And Experimental Optics
John Hunter Thomson,John Hunter Thompson
Fraunhofer Diffration,Fraunhofer Diffraction
Fraunhofer Diffration,Fraunhofer Diffraction
A. B. Basset,A. B. C. Basset
Tables Of Spectral-Line Intensities: Aranged By Elements,Tables Of Spectral-Line Intensities: Arranged By Elements
Tables Of Spectral-Line Intensities: Aranged By Wavelength,Tables Of Spectral-Line Intensities: Arranged By Wavelength
Borge Bak,Burj Bank
Molecular Vibrations: The Theory Of Infrared And Ramen Vibrational Spectra,Molecular Vibrations: The Theory Of Infrared And Raman Vibrational Spectra
Chemistr,Chemistry
Quantitive Molecular Spectroscopy And Gas Emissivities,Quantitative Molecular Spectroscopy And Gas Emissivities
Molecular Spectr,Molecular Spectra
P.S.S.C. Physics Teachers Resource Book And Guide,P.S.S.C. Physics Teacher's Resource Book And Guide
P.S.S.C. Physics Teachers Resource Book And Guide,P.S.S.C. Physics Teacher's Resource Book And Guide
Theoretical Physics In The Twentieth Centry,Theoretical Physics In The Twentieth Century
The Life Of Willianm Thomson,The Life Of William Thomson
The Life Of Willianm Thomson,The Life Of William Thomson
Heywood And Co.,Haywood And Co.
Memoir And Scientific Correspondance Of The Late Sir George Gabriel Stokes,Memoir And Scientific Correspondence Of The Late Sir George Gabriel Stokes
Histroical Physics,Historical Physics
Scale Factora,Scale Factors
S. J. Steel,R. S. J. Steel
Notes On Qualitive Analysis: Concise And Explanatory,Notes On Qualitative Analysis: Concise And Explanatory
Dyanmical Systems,Dynamical Systems
Dielectrical Material,Dielectric Material
Adriatico Research Conference on Path Integral Method With applicatio,Adriatico Research Conference on Path Integral Method With application
Magnetisim,Magnetism
Laws And Properites Of Matter,Laws And Properties Of Matter
Vibrations and Waves (MIT Introduction Physics),Vibrations and Waves (MIT Introductory Physics)
G. J. Murphy,J. G. Murphy
R. A. Houstoun,R. A. Houston
Mcallister H. Hull Jr.,Mcallister Hull Jr.
Geometrical Probability,Geometric Probability
Louis Toft,Louis Toth
Vecors,Vectors
Mathematical Applied To Electrical Engineering,Mathematics Applied To Electrical Engineering
Glactic Astronomy,Galactic Astronomy
Celestial Masers,Celestial Masters
A. H. Cook,A. J. Cook
A Text Book Of Physics,A Textbook Of Physics
R. B. Morrison,R. O. B. Morrison
A Manual Of Elecmantary Science,A Manual Of Elementary Science
Reobert L. Sells,Robert L. Sells
Invarience,Invariance
Physics Of The Earths Upper Atmosphere,Physics Of The Earth's Upper Atmosphere
Practicle Physics,Practical Physics
Novel Experimentss In Physics,Novel Experiments In Physics
R.J. Tayler,R.J. Taylor
Henery Norris Russell,Henry Norris Russell
Gravitation Theroy And Gravitational Collapse,Gravitation Theory And Gravitational Collapse
Speherical Astronomy,Spherical Astronomy
Parallex,Parallax
Physics Of The Solar Chronosphere,Physics Of The Solar Chromosphere
Nebulae And Intersteller Matter,Nebulae And Interstellar Matter
Gauss Theorm,Gauss Theorem
Stokes Theorm,Stokes Theorem
Ramon E. Moore,Ramone. Moore
The Irish Undergraduate Mathematical Magezine,The Irish Undergraduate Mathematical Magazine
Michael F. Cawly,Michael F. Crowley
D. W. N. Stibbs,D. A. W. N. Stubbs
Fraunhoffer Spectrum,Fraunhofer Spectrum
Sunspot Physisc,Sunspot Physics
Comsic Rays,Cosmic Rays
Peter Mitchill,Peter Mitchell
Nuclear Fule,Nuclear Fuel
F. C. Champion,A. F. C. Champion
Electromagnetic Interations,Electromagnetic Interactions
Nuclear Interations,Nuclear Interactions
Algaeal Biology,Algae Biology
Covarience,Covariance
Metabolisim,Metabolism
Quantitive Laws In Biological Chemistry,Quantitative Laws In Biological Chemistry
Ionic Mechanisims,Ionic Mechanisms
Free Redicals,Free Radicals
The Nature Of Vaiable Stars,The Nature Of Variable Stars
Crystalization,Crystallization
Betatron Oscillatons,Betatron Oscillations
Has Some Old Timely Photos,Has Some Old Timey Photos
New Research Tenchniques In Physics,New Research Techniques In Physics
Elemtary Particles,Elementary Particles
Cycltron,Cyclotron
S. I. Syrovatskii,S. I. Syrovatka
The Macmillian Company,The Macmillan Company
Origin Of Comsic Rays,Origin Of Cosmic Rays
Nucleon Nucleus Scattering,Nucleon Nucleon Scattering
Mangetic Resonance,Magnetic Resonance
Phase Equilibra,Phase Equilibria
Cross Over Of Disciplines,Crossover Of Disciplines
Dr. Dietrick Steinkopff Verlag,Dr. Dietrich Steinkopff Verlag
Meteorgology,Meteorology
Henry De Wold Smyth,Henry Dewolf Smyth
Electronic Charge,Electron Charge
Percipitation Current,Precipitation Current
Plasma Properties Thermodynamic Equlibrium,Plasma Properties Thermodynamic Equilibrium
Terrence W. Barrett,Terence W. Barrett
Synthesis Of Heaby Elements,Synthesis Of Heavy Elements
Blochs Theorem,Bloch's Theorem
"Paul Allen, 33 Pleasants St","Paul Allen, 33 Pleasant St"
Electromagnetic Priciples Of Integrated Optics,Electromagnetic Principles Of Integrated Optics
Velocity Distribution Mehtods,Velocity Distribution Methods
Auorarae,Aurorae
Cerenkov Radiation,Cherenkov Radiation
Multiple Coppies,Multiple Copies
Magnetoaerodynamics,Magnetohydrodynamics
B. Samuel Tanenbaum,B. Samuel Tenenbaum
Electron Thepry,Electron Theory
Elecromagnetic Waves,Electromagnetic Waves
Space Time Gereral Relativity,Space Time General Relativity
Coloumbs Law,Coulomb's Law
Fairly Outdated At This Stage. Cool Stamp From 1933 Though,Fairly Updated At This Stage. Cool Stamp From 1933 Though
Mottion Of Electrons In Applied Field,Motion Of Electrons In Applied Field
Introduction to Thermophysics,Introduction to Thermal Physics
Coloumb Collision In Fully Ionized Gas,Coulomb Collision In Fully Ionized Gas
Anistropic Plasma,Anisotropic Plasma
Mhd Instability,Mhd Stability
Current Carriying Plasma In Toroidal Config,Current Carrying Plasma In Toroidal Config
Metheun And Co.,Methuen And Co.
Semi Conductors,Semiconductors
The Cambridge Universe Press,The Cambridge University Press
Semi Conductors,Semiconductors
Lattice Deffects Ionic Crystals,Lattice Defects Ionic Crystals
Plasma Properties Coloumb Interaction,Plasma Properties Coulomb Interaction
Electric Quadropole Effect,Electric Quadrupole Effect
Magnetorisistance,Magnetoresistance
Wave Mechanics Of Crystaline Solids,Wave Mechanics Of Crystalline Solids
Electron Motion In One Dimesional Potential,Electron Motion In One Dimensional Potential
Thermal Neturon,Thermal Neutron
Nucleon Clsuters,Nucleon Clusters
E. Badareu,E. Badar
High Resolution Mass Spectroscope,High Resolution Mass Spectroscopy
Bound Nuclei Scattering,Bound Nucleus Scattering
Time Of Flight Spectrometers,Time Of Flight Spectrometer
Characteristic Frequency Generator Spectroscope,Characteristic Frequency Generation Spectroscopy
Yukawa Ineraction,Yukawa Interaction
Avogadros Number,Avogadro's Number
Perfect Gasses,Perfect Gases
Imperfect Gasses,Imperfect Gases
Sharge Symmetry,Charge Symmetry
E. Ruchard Cohen,E. Richard Cohen
Gravitation Constant,Gravitational Constant
Ideal Gasses,Ideal Gases
Invidual Band Systems,Individual Band Systems
Interaction Of A Nucleas With Atomic Fields,Interaction Of A Nucleus With Atomic Fields
Molecular Scattering In Gasses,Molecular Scattering In Gases
Quantitive Theory Nuclear Forces,Quantitative Theory Nuclear Forces
Deutron,Deuteron
Maria Geoppert Mayer,Maria Goeppert Mayer
Themionic Emission,Thermionic Emission
Artifical Nuclear Transformation,Artificial Nuclear Transformation
Fussion,Fusion
Dichtomic Variables,Dichotomous Variables
Charge Dependance,Charge Dependence
Force On Moving Elecron,Force On Moving Electron
Themionics,Thermionics
Atmosphere Electricity,Atmospheric Electricity
Kinetic Theory Of Gasses,Kinetic Theory Of Gases
Wave Machanics,Wave Mechanics
Beta Radiactivity,Beta Radioactivity
Cambridge Univeristy Press,Cambridge University Press
Resonance Fluroscence,Resonance Fluorescence
Independant Particle Models,Independent Particle Models
S. Lundquvist,S. Lundqvist
Betta Particles,Beta Particles
Arthur Edwark Ruark,Arthur Edward Ruark
Charge Dependance Of Nuclear Forces,Charge Dependence Of Nuclear Forces
Oxford Univeristy Press,Oxford University Press
Quadropole Coupling,Quadrupole Coupling
Statstical Mechanics,Statistical Mechanics
S. O'Conner,S. O'Connor
Electronincs,Electronics
S. O'Conner,S. O'Connor
P. M. Endt,P. M. Edt
Nuclear Photoeffect,Nuclear Photo Effect
Quadropole Vibration,Quadrupole Vibration
M. Demeur,M. Demeure
Dispersion Formulae,Dispersion Formula
Quadropole,Quadrupole
Nonthermal Equilibrium Method,Non Thermal Equilibrium Method
Quadrypole Moment,Quadrupole Moment
A. M. Baldin,A. D. A. M. Baldwin
I. L. Rozenthal,I. L. Rozental
Mathmatics,Mathematics
Research Papres,Research Papers
Mangetic Dipole,Magnetic Dipole
Quadropole Effects,Quadrupole Effects
Hystersis Curve,Hysteresis Curve
Tau Peton,Tau Peyton
Chromacity,Chromaticity
Radiating Particles,Radiation Particles
N. A. Mancini,A. N. A. Mancini
Agrigultural Applications,Agricultural Applications
Seamus O'Conner,Seamus O'Connor
Liquid Spectra,Liquid Spectrum
Deperturbation,Perturbation
Solid State Physocs,Solid State Physics
Two Level Masers,Two Level Masters
Thermo Electricity,Thermoelectricity
Heliumm Ii,Helium Ii
Solid Condition,Solid Conditioner
W. N. Mathews Jr,W. Matthews Jr
Enchancement Effect,Enhancement Effect
Magnetohydrostatics,Magneto Hydrostatics
G. Bel and Sons,G. Bell and Sons
Heinz Knoepfel,Heinz Knopfel
Cylindrical Untrahigh Field Generators,Cylindrical Ultra High Field Generators
Principles Of Electric And Mangetic Measurements,Principles Of Electric And Magnetic Measurements
Laplaces Equation,Laplace's Equation
His Majesty'S Stationary Office,His Majesty'S Stationery Office
His Majesty'S Stationary Office,His Majesty'S Stationery Office
Goerg Joos,Georg Joos
Retavistic Mechanics,Relativistic Mechanics
Retavistic Mechanics,Relativistic Mechanics
Microfluids,Microfluidics
The Scientist And Archaelogy,The Scientist And Archaeology
Edward Pyddoke,Edward Paddock
Donal H. Menzel,Donald H. Menzel
Nomorams,Nomograms
Atmoic Existance,Atomic Existence
Gosta Ekspong,Gosta Esping
Macmillarn And Co.,Macmillan And Co.
"Ion Surface Interaction, Sputtering & Related Phenomena","Ion Surface Interaction, Sputtering and Related Phenomena"
Absorbed Layers,Adsorbed Layers
Foundations Of Dynamical Physics,Foundations Of Dynamic Physics
Asbtraction,Abstraction
E. N. Da G. Andrade,E. N. Da C. Andrade
Netwon,Newton
Distortional Wave,Distortion Wave
Philosophic Problems In Nuclear Science,Philosophical Problems In Nuclear Science
Padraig O'Huallacairg,Padraig O'Huallachain
"Glassblowing for Laboratory Technicians (Pergamon international library of science, technology, engineering and social studies)","Glass Blowing for Laboratory Technicians (Pergamon international library of science, technology, engineering and social studies)"
Supermagnets,Super Magnets
Gaussian Otpics,Gaussian Optics
Graviation,Gravitation
Cambrudge University Press,Cambridge University Press
Astimagtism,Astigmatism
Elliptical Analyser,Optical Analyser
Goerge Gamow,George Gamow
Neils Bohr And The Development Of Physics,Niels Bohr And The Development Of Physics
Vacuumt Tubes,Vacuum Tubes
North_Holland Publishing Co.,North Holland Publishing Co.
Magntic Measurements,Magnetic Measurements
Mangetism,Magnetism
Interpretating Results,Interpreting Results
Relfection,Reflection
Iterference,Interference
Absoprtion Experiments,Absorption Experiments
Radiaiton Measrument,Radiation Measurement
Berkely Physics Laboratory,Berkeley Physics Laboratory
Negavtie Resistance,Negative Resistance
E. V. Shpol'Skii,E. V. Shpol Skii
Positron Annhiliation,Positron Annihilation
Nuclei Properties,Nucleus Properties
Mass Spectrometric Apparatus,Mass Spectrometry Apparatus
Obervational Error,Observational Error
Electric Properties,Electrical Properties
Dolid Helium,Solid Helium
Absorption In Infra Red,Absorption In Infrared
Atomi Nuclei,Atomic Nuclei
Electromangtic Fields And Interactions,Electromagnetic Fields And Interactions
Relativstic Electron,Relativistic Electron
Hysterisis Cycle,Hysteresis Cycle
Antenna Basis,Antenna Basics
Coloumb,Coulomb
M. Staneley Livingston,M. Stanley Livingston
Curvliniear Motion,Curvilinear Motion
Molecules and Gasses,Molecules and Gases
B. N. Taylor,B. E. N. Taylor
Condesation,Condensation
Optical Andecdotes,Optical Anecdotes
Fudamentals of Physics Optics,Fundamentals of Physics Optics
Fraunhoffer,Fraunhofer
Magnto-optics,Magneto-optics
Magnetoptics,Magneto Optics
Multicylinder Engines,Multi Cylinder Engines
Vibating String,Vibrating String
Diffaction,Diffraction
Relavtistic Mechanics,Relativistic Mechanics
"Longmans, Greena and Co.","Longmans, Green and Co."
Poolar Coordinates,Polar Coordinates
Planerary Motion,Planetary Motion
Nul Lines,Nfl Lines
Abberations,Aberrations
S. G. Lipson,S. G. Gibson
Lunes Method,Lumens Method
Abberation,Aberration
Varrying Currents,Varying Currents
Varrying Currents,Varying Currents
Covariant Quantym Electrodynamics,Covariant Quantum Electrodynamics
Heywood and Co.,Haywood and Co.
Dunbink Observatory,Dunsink Observatory
Population Studies in Near Galaxies,Population Studies in Nearby Galaxies
Staurt Clark,Stuart Clark
Glow Frokm the Edge,Glow From the Edge
Cosmic Ray Aparratus,Cosmic Ray Apparatus
Cosmic Ray Aparratus,Cosmic Ray Apparatus
Phillippe Dennery,Philippe Dennery
Unplanar Motion of Rigid Body,Non Planar Motion of Rigid Body
Crystla and Molecular Symmetry,Crystal and Molecular Symmetry
Elliptic Functino,Elliptic Function
Riemannian Geomtry,Riemannian Geometry
Complex Vectorial Calculus,Complex Vector Calculus
Goldberg Sach,Goldberg Sachs
Neils Bohr,Niels Bohr
Nuclear Physcs,Nuclear Physics
Artifical Radioactivity,Artificial Radioactivity
Sydney D. Drell,Sidney D. Drell
Nonelectromagnetic Interactions,Non Electromagnetic Interactions
V. D. Krivchenkov,V. D. Krivchenko
Coloum Scattering,Coulomb Scattering
