IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
,Chemistry: The Central Science,Theodore L. Brown; H. Eugene Lemay Jr.,Prentice-Hall,1981,2,,Chemistry; Basic Chemistry; Atomic Physics; Molecular Chemistry; Stoichiometry; Enthalpy; Hess'S Law; Food Science; Quantum ; Quantum Mechanics; Periodic Table; Chemical Bonds; Molecular Geometry; Atmospheric Chemistry; Phase Transitions; Chemical Reactions; Chemical Equilibrium; Acid Base Chemistry; Entropy; Electrochemistry; Nuclear Chemistry; Geochemistry; Metallic Bonds; Organic Chemistry,,,Y
,"Research, U.S.A: Knowledge For The Future",Albert V. Crewe; Joseph J. Katz,Mcgraw-Hill Publishing Co.,1964,,,Chemistry; Particle Physics; Nuclear Physics; Ionizing Radiation; Spectroscopy,T. E. Nevin,,Y
,Organic Chemistry: Electronic Theory And Reaction Mechanism,Rowland I. Reed; S. Horwood Tucker,Macmillan And Co.,1960,,,Chemistry; Organic Chemistry; Atomic Valency; Acid Base Chemistry; Molecular Physics; Atomic Physics; Intermolecular Physics; Hydrogen Bonds; Substitution Reactions,L. Jacob,,Y
,"Matter, Energy And Life",Jeffrey J. W. Baker; Garland E. Allen,Addison-Weslley Publishing Co.,1965,,,Chemistry; Organic Chemistry; Molecular Chemistry; Atomic Physics; Chemical Reactions; Acid Base Chemistry; Food Science; Protein Chemistry; Enzymes; Dna Biology,L. Jacob,,Y
,Electrical Conduction In Solids,H. Inokuchi,Routledge And Kegan Paul,1965,,,Chemistry; Material Physics; Electrical Properties Of Matter; Semiconductor Physics; Crystal; Crystallography,L. Jacob,,Y
,The Meaning Of Crystalinity In Polymers,Fraser P. Price; Et Al.,Interscience Publishers,1966,,,Chemistry; Crystallography; Polymer Chemistry; Research Papers,L. Jacob,,Y
,The Structure Of Physical Chemistry,C. N. Hinshelwood,Clarendon Press,1951,,,Chemistry; Atomic Physics; Molecular ; Molecular Physics; Entropy; Thermodynamics; Quantum Chemistry; Quantum Mechanics; Electrical Properties Of Matter; Intermolecular Physics; Organic Chemistry; Fluid Mechanics,T. E. Nevin,,Y
,Chemical Calculations: An Introduction To The Use Of Mathematics In Chemistry,Sidney W. Benson,John Wiley & Sons,1963,2,,Chemistry; Mathematic; Chemical Reactions; Gas Properties; Valence; Solutions; Chemical Equilibrium; Electrical Properties Of Matter; Hydrolysis; Oxidation And Reduction; Redox Reactions; Chemical Reaction Rates,L. Jacob,,Y
,Projects In Biology,A. C. Hilton; D. A. Hilton,B. T. Batsford Ltd.,1966,,,Chemistry; Biology; Human Biology; Food Science; Human Anatomy; Sociology; Experiment Book,L. Jacob,,Y
,Radioisotopes And Radiation,John H. Lawrence; Bernard Manowitz; Benjamin S. Loeb,Mcgraw-Hill Publishing Co.,1964,,,Chemistry; Medical Physics; Medical Chemistry; Veterinary Medicine; Food Science; Biology; Bacteria ; Chemical Synthesis,T. E. Nevin,,Y
