IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,subject1,subject2,subject3,donor,relevance 
530.85,Alexander Graham Bell: An Inventive Life (Snapshots: Images Of People And Places In History), Elizabeth Macleod, Kids Can Press,1999,,,Biography,Inventor,Kids Book,Ex-Libris,N 
,"Six Not-So-Easy Pieces: Einstein'S Relativity, Symmetry And Space-Time (Penguin Press Science)", Richard P. Feynman," Penguin Books, Limited (Uk)",2001,,,General Physics,Relativity,,,Y 
,A Thousand Suns, Alex Scarrow, Orion Publishing,2008,,,History,Fiction,Novel,,N 
,The Irish Students Geography,Eleanor Butler,The Educational Company,1948,3,3,Geography,Mathematical And General Geography,,,Y 
,Reactor Physics Constants,Argonne National Laboratory,United States Atomic Energy Commission,1963,,2,Nuclear Physics,Reference,,Ex-Libris,Y 
,British Universities,Sir James Mountford,Oxford University Press,1966,,1,Teaching,History,,Ex-Libris,M 
531.1,Cavendish Problems In Classical Physics,A. B. Pippard,Cambridge University Press,1962,,1,General Physics,Problems Book,,Ex-Libris,Y 
,Elementary Plasma Physics,Lev A. Arzimovich,Blaisdell Publishing Company,1965,,1,Plasma Physics,Material Physics,,Ex-Libris,Y 
,Encounters And Celebrations,Georges Fradier,Unesco,1963,,1,Culture,,,Ex-Libris,N 
,Table Of Isotopes,C. Michael Lederer,John Wiley And Sons,1968,,6,Nuclear Physics,Chemistry,Reference Book,Ex-Libris,Y 
,Education And The Atom,Glenn T. Seaborg,Mcgraw-Hill Book Company,1964,,1,Teaching,Nuclear Physics,,Ex-Libris,Y 
,High Vacuum Technique,J. Yarwood,Chapman And Hall,1945,,2,Vacuum Techniques,Material Physics,,Ex-Libris,Y 
,The Assessment Of University Learning,Barbara Falk,The Society For The Research Into Higher Education,1971,,1,Teaching,Exam Based Learning,,Ex-Libris,M 
,Science News,A. W. Haslett,Penguin,1954,31,1,General Science,Research Articles,Periodical,Ex-Libris,Y 
,Science News,Archie And Nan Clow,Penguin,1959,51,1,General Science,Research Articles,Periodical,Ex-Libris,Y 
,Science News,A. W. Haslett,Penguin,1956,39,,General Science,Research Articles,Periodical,Ex-Libris,Y 
,Penguin Science Survey 1968: Physical Sciences,Nicholas Valery,Penguin,1968,,1,Periodical,Research Articles,,Ex-Libris,Y 
,The Particles In Cosmic Radiation,Thomas E. Nevin,University College Dublin,1948,,1,Astronomy,Cosmic Ray Physics,Lecture Notes From A UCD Course ,Ex-Libris,Y 
,The Physical Society Reports On Progress In Physics: Atmospheric Electricity,J. Alan Chalmers,University Of Durham,1954,17,1,Atmospheric Physics,Electromagnetism,,Ex-Libris,Y 
,The Universities (British Institutions), V. H. H. Green, Penguin Books Ltd,1969,,,Teaching,History,,Ex-Libris,M 
,Physical Constants,W. H. J. Childs,Methuen And Co. ,1943,,3,General Physics,Constants,Reference Book,Ex-Libris,Y 
,The Meter-Kilogram-Second System Of Electrical Units,R. K. Sas,Methuen And Co.,1947,,1,Metrology,Constants,Reference Book,Ex-Libris,Y 
,"Right Stuff, The (Picador Books)", Tom Wolfe, Picador,1991,,,Biography,Mathematics,Novel,,M 
,The Faber Book Of Science,John Carey,Faber & Faber,1998,,1,General Science,Anthology,,,Y 
,The Golem: What Everyone Should Know About Science (Canto Original Series), Harry M. Collins, Cambridge University Press,1994,, Reprint,General Science,Anthology,,,Y 
530.9,Prometheus'S Fire,Norman Mcmillan,Tyndallpublications,2000,,1,History Of Physics,Teaching,,Ex-Libris,Y 
,The Concept Of Human Development,Elton B. Mcneil,Wadsworth Publishing Company,1966,,1,Psychology,Social Science,,Ex-Libris,M 
,Science News,A. W. Haslett,Penguin,1955,35,1,Gerenal Science,Research Articles,Periodical,Ex-Libris,Y 
,Science News,Archie And Nan Clow,Penguin,1958,48,1,General Science,Research Articles,Periodical,Ex-Libris,Y 
539a,Progress In Nuclear Physics,D. M. Brink,Pergamon Press,1970,12,1,Progress Reports In Atomic Physics,Nuclear Physics,Cross-Section Measurements ,Ex-Libris,Y 
,Masers,Gordon Troup,Methuen And Co.,1959,,1,Masers,Microwave Amplification,General Maser Physics And Operation,Ex-Libris,Y 
,Algal Biology: A Physiological Approach (Basic Microbiology), W. Darley, Blackwell Science Inc,1982,9,,Biology,Microbiology,Algal Biology,,M 
530.4,The Art And Science Of Lecture Demonstration, C.A. Taylor, Crc Press,1988,,,"Essays, Lectures On Physics",Teaching,Lecture Methods,Ex-Libris,Y 
,The Theory Of Metals,A. H. Wilson,Cambridge University Press,1965,,2,Material Physics,Metals,Semi-Conductor Physics,Ex-Libris,Y 
,Diagram: Instrument Of Thought, Keith Albarn, Thames & Hudson Ltd,1979,, New Ed,Mathematics,Topology,Optical Illusions,B. Fuller,Y 
,The Man In The Thick Lead Suit,Daniel Lang,Victor Gollancz,1955,,1,Nuclear Physics,Reporter At Large,The New Yorker Piece,Ex-Libris,M 
,Laboratory Administration,E. S. Hiscocks,Macmillan And Co.,1956,,1,Teaching,Laboratory Management,,Ex-Libris,Y 
,A Different Kind Of Teacher, Tony Humphreys," Gill & Macmillan, Limited",1996,, 2Nd,Teaching,Psychology,,,M 
,"Black Holes, Quasars And The Universe", Harry L. Shipman, Houghton Mifflin Harcourt (Hmh),1976,,,Astronomy,Black Holes,High Energy Astrophysics,Ex-Libris,Y 
,Growth And Development,Maurice Sussman,Prentice-Hall,1964,,2,Biology,Cell Biology,Cell Growth And Development,L. Jacob,M 
,Progress In Cosmic Ray Physics,J. G. Wilson,North-Holland Publishing Company,1953,2,,Astronomy,High Energy Astrophysics,,Ex-Libris,Y 
,Waves (A Macmillan Physics Text), David Reginald Tilley, Macmillan,1974,,,Wave Mechanics,Oscillators,,,Y 
,Fermat'S Last Theorem, Simon Singh, Fourth Estate Ltd,1998,, 1St,Mathematics,Biography,,,Y 
,The Modern University,G. L. Brook,Andre Deutsch,1965,,1,Teaching,,,Ex-Libris,Y 
,Logistics, David J. Bloomberg, Prentice Hall,2001,,1,Economics,Manufacturing Theory,,Students Union,N 
,Recent Physical Research,David Owen,The Electrician Printing And Publishing Co.,1913,,,General Physics,Electromagnetism,,Ex-Libris,Y 
,Science News,Archie And Nan Clow,Penguin,1957,46,,General Physics,Research Articles,Periodical,Ex-Libris,Y 
,The Crime Of Galileo,Giorgio De Santillana,Heinemann,1958,,1,History,Politics,Early Academia,N. A. Porter,Y 
,The Decline Of The West,Oswald Spengler,Alfred A. Knopf,1939,,special edition,History,,,Ex-Libris,N 
,New Oathways In Science,Sir Arthur Eddington,Cambridge University Press,1935,,,General Physics,,,Ex-Libris,Y 
,Getting The Message Across: Key Skills For Scientists,Royal Society Of Chemistry,Glaxo Wellcome,1999,,2,Teaching,Communication Skills,Lecture/Presentation Skills,,Y 
,Photoelectric Cells,A. Sommer,Methuens And Co.,1946,,1,Electromagnetism,Photoelectric Absorption,Photocells,Ex-Libris,Y 
,"Contemporary Strategy Analysis: Concepts, Techniques, Applications Fourth Edition", Robert M. Grant, Wiley-Blackwell,2002,, 4Th,Economics,Business,,Students Union,N 
510,Solutions To Laplace'S Equations,D. R. Bland,Routledge And Kegan Paul Ltd,1961,,1,Mathematics,Legendre Polynomials,Sample Questions,Ex-Libris,Y 
