IDnumb,Title,Author,Publisher,Year,Edition,Volume,subjects,Donor,Comment,Relevance 

,University Physics,Harris Benson,John Wiley And Sons,1991,,,General Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,Alex Montwill,Text Book,Y 
530,Essentials Of Physics (Addison-Wesley Series In Physics), Sidney Borowitz, Addison-Wesley Educational Pub,1971, International 2 Revised Ed,,Textbooks On Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,,Text Book,Y 
,Principles Of Physics, Frederick J. Bueche;  David Jerde, Mcgraw-Hill Education (Ise Editions),1994, 6Rev Ed,,General Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,Alex Montwill,Text Book,Y 
,Physics,K. R. Atkins,John Wiley And Sons,1965,2,,General Physics; Particle Physics; Mechanics; Atomic Physics; Electromagnetism; Wave Mechanics; Relativity; Quantum Mechanics; Nuclear Physics,M. Hoey,Text Book,Y 
530,Concepts Of Modern Physics,Arthur Beiser,Mcgraw-Hill Book Company,1967,2,,Textbooks On Physics; Atomic Theory; Quantum Mechanics; Special Relativity; Wave/Particle Duality; Solid State Physics; Molecular Physics; Nuclear Physics,M. Hoey,,Y 
,Ordinary Level Physics, A.F. Abbott, Heinemann Educational Publishers,1977, 3Rd,,General Physics; Classical Mechanics; Thermodynamics; Optics; Wave Mechanics; Electromagnetism; Atomic Physics; Nuclear Physics,,Text Book,Y 
530,General Physics, G.F. Aitchison, Chapman And Hall,1970,,,Textbooks On Physics;General Physics;Particle Physics;Wave Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
General Physics,Physics,Marcelo Alonso; Edward J. Finn,Addison-Weslley Publishing Co.,1970,,,General Physics;Classical Mechanics;Particle Physics;Oscillations;Wave Mechanics;Thermodynamics;Electromagnetism;Quantum Mechanics,Patrick Burke,Text Book,Y 
,Modern Physics: An Introductory Survey,Arthur Beiser,Addison-Wesley Publishing Co. ,1968,,,General Physics;Electromagnetism;Relativity;Quantum Mechanics;Atomic Physics;Solid State Physics;Nuclear Physics;Particle Physics,Alex Montwill,,Y 
,The Mainstream Of Physics,Arthur Beiser,Addison-Weslley Publishing Co.,1962,,,General Physics;Classical Mechanics;Wave Mechanics;Thermodynamics;Electromagnetism;Optics;Relativity;Atomic Physics;Nuclear Physics;Particle Physics,,Text Book,Y 
,College Physics,Robert T. Beyer;A. O. Williams Jr.,Prentice-Hall Inc.,1957,,,General Physics;Classical Mechanics;Fluid Mechanics;Thermodynamics;Optics;Electromagnetism;Electricity;Electronics;Molecular Physics;Nuclear Physics;Astrophysics;Spectroscopy,T. E. Nevin,Text Book,Y 
530,Fundamental Laws Of Physics,F. Woodbridge Constant,Addison-Wesley Pubilshing Co.,1963,,,Textbooks On Physics;Classical Mechanics;Experimental Method;Wave Mechanics;Electromagnetism;Relativity;Quantum Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,1,Textbooks On Physics;Classical Mechanics,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,2,Textbooks On Physics;Wave Mechanics;Electromagnetism,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,3,Textbooks On Physics;Quantum Mechanics;Statistical Physics;Atomic Physics;Nuclear Physics;Thermodynamics,Ex-Libris,Text Book,Y 
