IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relvance
 ,,,,,,,,,,
539.5,Cosmic Rays,L. Janossy,Oxford At The Clarenson Press,1948,,,High Energy Physics; Astrophysics; Particle Physics,Ex-Libris,,Y 
538.5,Solid State Physics,A. J. Dekker,Macmillan And Co.,1960,,,Solid State Physics; Material Physics; Crystallography,Ex-Libris,Poor Condition,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; Et Al.,North-Holland Publishing Co.,1952,,1,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; Et Al.,North-Holland Publishing Co.,1952,,2,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; Et Al.,North-Holland Publishing Co.,1952,,3,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; S. A. Wouthuysen; Et Al.,North-Holland Publishing Co.,1952,,4,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; S. A. Wouthuysen; Et Al.,North-Holland Publishing Co.,1952,,5,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; S. A. Wouthuysen; Et Al.,North-Holland Publishing Co.,1952,,6,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; S. A. Wouthuysen; Et Al.,North-Holland Publishing Co.,1952,,7,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Progress In Cosmic Physics,J. G. Wilson; S. A. Wouthuysen; Et Al.,North-Holland Publishing Co.,1952,,8,High Energy Physics; Cosmic Ray Physics; Particle Physics; Astrophysics,Ex-Libris,,M 
539.5,Cosmic Ray Physics,A. E. Sandstrom,North-Holland Publishing Co.,1965,,,High Energy Physics; Cosmic Ray Physics; Astrophysics; Particle Physics; Optics; Meteorology,Ex-Libris,,Y 
539.5,Papers Read At The Cosmic Ray Colloquium,Multiple Papers,The Dublin Institute For Advanced Studies,1952,,,High Energy Physics; Research Papers; Astrophysics; Cosmic Ray Physics; Particle Physics,Ex-Libris,,M 
539.5,Elementary Particles And Cosmic Rays,Alladi Ramakrishnan,Pergamon Press,1962,,,High Energy Physics; Cosmic Ray Physics; Astrophysics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y 
539.5,Proceedings Of The 11Th International Conference On Cosmic Rays,P. Gombas; Et Al.,Akademiai Kiado,1970,,1,High Energy Physics; Research Papers; Cosmic Ray Physics; Astrophysics,Ex-Libris,,M 
539.5,Proceedings Of The 9Th International Conference On Cosmic Rays,Multiple Authors,The Institute Of Physics And The Physical Society London,1965,,2,High Energy Physics; Research Papers; Cosmic Ray Physics; Astrophysics,Ex-Libris,,M 
539.5,High Energy Particles,Bruno Rossi,Prentice-Hall ,1952,,,High Energy Physics; Astrophysics; Particle Physics; Cosmic Ray Physics; Electromagnetism,Ex-Libris,,Y 
539.5,Photon-Hadron Interactions (Frontiers in Physics), Richard P. Feynman, W. A. Benjamin,1972," First Edition, Thus",,High Energy Physics; Cosmic Ray Physics; Particle Physics; magnetism,Ex-Libris,,Y 
539.5,Supernovae And Supernova Remnants: Proceedings Of The International Conference On Supernovae,Cristiano Batalli Cosmovici,D. Reidel Publishing Co.,1973,,45,High Energy Physics; Astrophysics; Stellar Physics; Research Papers,Ex-Libris,,Y 
539.5,Cosmic Ray Physics,D. J. X. Montgomery,Princeton University Press,1949,,,High Energy Physics; Cosmic Ray Physics; Astrophysics; Particle Physics,Ex-Libris,,Y 
539.5,Proceedings Of The International School Of Physics: Course 19,B. Peters; Et Al.,Academic Press,1963,,,High Energy Physics; Cosmic Ray Physics; Astrophysics; Stellar Physics; Particle Physics; Research Papers,Ex-Libris,English/Italian Conference,Y 
539.5,Hadron Physics And Very High Energies,David Horn; Fredrik Zachariasen,W. A. Benjamin Inc.,1973,,,High Energy Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y 
539.5,High Energy Collisions Of Elementary Particles,R. J. Eden,Cambridge University Press,1967,,,High Energy Physics; Particle Physics; Quantum Mechanics; Nuclear Physics; Atomic Physics,Ex-Libris,,Y 
539.5,Introduction to High Energy Physics (Addison-Wesley Series in Advanced Physics), Donald H Perkins, Addison-wesley,1972, International edition,,High Energy Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y 
539.5,Recent Developments In Particle Symmetries,A. Zichichi,Academic Press,1966,,,High Energy Physics; Research Papers; Quantum Mechanics; Relativity; Particle Physics,Ex-Libris,,Y 
539.5,Masers: Microwave Amplification And Oscillation By Stimulated Emission,Gordon Troup,Meuthuen And Co.,1959,,,High Energy Physics; Laser Physics; Oscillations; Optics,Ex-Libris,,Y 
539.5,Lie Groups For Pedestrians,Harry J. Lipkin,North-Holland Publishing Co.,1965,,,High Energy Physics; Particle Physics; Mathematics,Ex-Libris,,Y 
539.5,High Energy Nuclear Physics: Proceedings Of The Annual Rochester Conference,H. P. Noyes; M. Camac; W. D. Walker; Et Al.,Interscience Publishers Publishers,1952,,,High Energy Physics; Nuclear Physics; Research Papers; Particle Physics,Ex-Libris,,Y 
539.5,High Energy Nuclear Physics: Proceedings Of The Annual Rochester Conference,H. P. Noyes; E. M. Hafner; G. Yekutieli; B. J. Raz; Et Al.,Interscience Publishers Publishers,1955,,,High Energy Physics; Research Papers; Nuclear Physics; Particle Physics,Ex-Libris,,Y 
539.5,High Energy Nuclear Physics: Proceedings Of The Annual Rochester Conference,G. Ascoli; G. Feildman; L. J. Koester; R. Newton; Et Al.,Interscience Publishers Publishers,1957,,,High Energy Physics; Research Papers; Nuclear Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y 
539.5,The Fundamental Particles,Clifford E. Swartz,Addison-Weslley Publishing Co.,1965,,,High Energy Physics; Particle Physics; Atomic Physics; Nuclear Physics,Ex-Libris,,Y 
539.45,Isotopic Tracers And Nuclear Radiations,William E. Siri,Mcgraw-Hill Publishing Co.,1949,1,,Unknown; Nuclear Physics; Particle Physics; Atomic Physics; High Energy Physics; Spectroscopy,Ex-Libris,,Y 
560,Electroweak Interactions: An Introduction to the Physics of Quarks and Leptons, Peter Renton, Cambridge University Press,1990, 1st PB EditionR,,Particle Physics; Quantum Mechanics; Nuclear Physics; Atomic Physics,Ex-Libris,,Y 
539.4,The Radiochemical Manual: Physical Data,The Radiochemical Centre,The Radiochemical Centre,1962,,1,Unknown; Nuclear Physics; Atomic Physics,Ex-Libris,,Y 
539.45,Air Chemistry And Radioactivity,Christian E. Junge,Academic Press,1963,,,Unknown; Nuclear Physics; Atmospherics,Ex-Libris,,Y 
539.45,Radiations From Radioactive Substances,Sir Ernest Rutherford; James Chadwick; C. D. Ellis,Cambridge University Press,1930,,,Unknown; Nuclear Physics; Atomic Physics; Radiation,Ex-Libris,,Y 
539.45,Practical Nucleonics,F. J. Pearson; R. R. Osborne,E. And F. N. Spon Ltd. ,1960,1,,Unknown; Nuclear Physics; Radiation; Medical Physics; Electronics,Ex-Libris,,Y 
539.45,Arrificial Radioactivity,P. B. Moon,Cambridge University Press,1949,,,Unknown; Nuclear Physics; Radiation,Ex-Libris,, 
539.4,The Chemistry Of The Radio-Elements,Frederick Soddy,Longmans Green And Co.,1911,,,Unknown; Nuclear Physics; Radiation; Elements,Ex-Libris,,Y 
539.45,Radiocarbon Dating,Willard F. Libby,The University Of Chicago Press,1952,,,Unknown; Nuclear Physics; Radiation,Ex-Libris,,Y 
539.4,X-Rays In Practice,Wayne T. Sproull,Mcgraw-Hill Publishing Co.,1946,1,,Unknown; Nuclear Physics; Radiation; Crystallography; Material Physics; High Energy Physics; Electromagnetic Radiation,Ex-Libris,,Y 
539.4,The Radiochemical Manual,The Radiochemical Centre,The Radiochemical Centre,1966,2,1+2,Unknown; Nuclear Physics; Atomic Physics; Material Physics,Ex-Libris,,Y 
539.45,Radioactivation Analysis,H. J. M. Bowen; D. Gibbons,Oxford At The Clarenson Press,1963,,,Unknown; Nuclear Physics; Atomic Physics; Radiation; Particle Physics,Ex-Libris,,Y 
539.35,Antennae: An Introduction To Their Theory,J. Aharoni,Oxford At The Clarenson Press,1946,,,Unknown; Maxwells Equations; Electromagnetism; Wave Mechanics; Electronics; Electromagnetic Radiation,Ex-Libris,,Y 
539.35,Transistors: Theory And Applications,Philips,Philips Electron Tube Devision,1963,,,Unknown; Electronics; Electromagnetic Radiation,Ex-Libris,Handbook To Transistors,Y 
539.35,Antenna Engineering Handbook,Henry Jasik; Et Al.,Mcgraw-Hill Publishing Co.,1961,1,,Unknown; Electronics; Electromagnetism; Electromagnetic Radiation,Ex-Libris,,Y 
539.35,A Survey Of The Priciples And Practice Of Wave Guides,L. G. H. Huxley,Cambridge University Press,1947,,,Unknown; Electronics; Electromagnetism; Electromagnetic Radiation,Ex-Libris,,Y 
539.45,Radioactive Isotopes,W. J. Whitehouse; J. L. Putman,Oxford At The Clarenson Press,1953,,,Unknown; Nuclear Physics; Atomic Physics; Radiation,Ex-Libris,,Y 
