IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
,Advances In Molecular Spectroscopy: Proceedings Of The 4Th International Meeting On Molecular Spectroscopy,A. Mangini; Et Al.,Pergamon Press,1962,,2,Spectroscopy; Molecular Spectroscopy; Research Papers; Nuclear Physics; Atomic Physics; Chemistry; Solid State Physics,,German/English Conference Proceedings,M
537.1,Principles and Applications of Magnetic Cooling (Low Temperature Physics S), Ralph P Hudson, North-Holland Pub. Co.,1972,,,Low Temperatures; Nuclear Physics; Atomic Physics; Paramagetisim,Ex-Libris,,Y
537.1,Liquid Helium,K. R. Atkins,Cambridge University Press,1959,,,Low Temperatures; Liquefied Gases; Liquid Helium; Thermohydrodynamics; Theoretical Physics,Ex-Libris,,Y
537.1,Experimental Techniques In Low-Temperature Physics,Guy Kendall White,Oxford University Press,1968,2,,Low Temperatures; Liquefied Gases; Thermometers; Cryostat; Vacuum Techniques,Ex-Libris,,Y
537.1,Refrigeration And Thermometry Below One Kelvin,D. S. Betts,Sussex University Press,1976,,,Low Temperatures; Liquefied Gases; Liquid Helium; Thermometers; Nuclear Physics; Thermometry; Mossbauer Effect,,,Y
537.1,Semi-Conducting Materials,R. W. Ditchburn; N. F. Mott,Butterworths Scientific Publications,1951,,,Low Temperatures; Research Papers; Semiconductor Theory; Nuclear Physics; Atomic Physics; Chemistry,L. Jacob,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1970,,6,Low Temperatures; Research Papers; Liquefied Gases; Liquid Helium; Superconductivity; Crystallography,Ex-Libris,,Y
,Electricity And Magnetism,Max Abraham,Blackie And Sons Ltd.,1948,,,Electromagnetism; Vectors; Tensors; Electromagnetic Radiation; Maxwells Equations,N. A. Porter,,Y
537.1,The Properties Of Liquid And Solid Helium,J. Wilks,Clarendon Press,1967,,,Low Temperatures; Liquid Helium; Liquefied Gases; Crystallography; Wave Mechanics; Solid Helium,Ex-Libris,,Y
537.4,Modern Thermodynamics By The Methods Of Willard Gibbs,E. A. Guggenheim,Meuthuen And Co.,1933,,,Thermodynamics; Gas Laws; Radiation,Ex-Libris,,Y
537.4,Thermodynamics,Y. Rocard,Sir Isaac Pitman And Sons Ltd.,1952,,,Thermodynamics; Equations Of State; Material Physics; Radiation; Statistical Mechanics,Ex-Libris,,Y
537.1,Phenomena At The Temperature Of Liquid Helium,E. F. Burton; H. Grayson Smith; J. O. Wilhelm,Reinhold Publishing Corporation,1940,,,Low Temperatures; Liquefied Gases; Liquid Helium; Thermometers; Material Physics; Superconductivity; Specific Heats; Conductivity,Ex-Libris,,Y
537.4,"Thermodynamics, Kinetic Theory And Statistical Thermodynamics",Francis W. Sears; Gerhard L. Salinger,Addison-Weslley Publishing Co.,1975,3,,Thermodynamics; Equations Of State; Laws Of Thermodynamics; Entropy; Molecular Physics; Statistical Thermodynamics,S. O'Connor,,Y
537.1,Low Temperature Solid State Physics,H. M. Rosenberg,Oxford University Press,1963,,,Low Temperatures; Crystallography; Specific Heats; Semiconductor Theory; Thermal Expansion; Material Physics; Superconductivity,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,1,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquefied Gases; Optics; Transistor Theory; Crystallography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,2,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquefied Gases; Optics; Transistor Theory; Crystallography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,3,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquefied Gases; Optics; Transistor Theory; Crystallography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,4,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquefied Gases; Optics; Transistor Theory; Crystallography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,5,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquefied Gases; Optics; Transistor Theory; Crystallography,Ex-Libris,,Y
537.1,Theory Of Superconductivity,J. R. Schrieffer,W. A. Benjamin Inc.,1963,,,Low Temperatures; Superconductivity; Liquefied Gases; Chemistry; Electromagnetism,Ex-Libris,,Y
537.4,Thermodynamics: An Advanced Treatment For Chemists And Physicists,E. A. Guggenheim,North-Holland Publishing Co.,1957,,,Thermodynamics; Laws Of Thermodynamics; Thermometers; Entropy; Equations Of State; Material Physics,Ex-Libris,,Y
537.4,Thermodynamics: An Introduction,Rubin Battino; Scott E. Wood,Academic Press,1968,,,Thermodynamics; Classical Thermodynamics; Mathematics; Equations Of State; Classical Mechanics; Laws Of Thermodynamics; Entropy; Enthalpy; Helmholtz Free Energy; Gibbs Free Energy,Ex-Libris,,Y
537.4,"An Introduction To Thermodynamics, The Kinetic Theory Of Gases And Statistical Mechanics",Francis Weston Sears,Addison-Weslley Publishing Co.,1953,2,,Thermodynamics; Classical Mechanics; Laws Of Thermodynamics; Equations Of State; Entropy; Kinetic Theory; Maxwell-Boltzmann Statistics,Ex-Libris,,Y
537.4,Statistical Thermodynamics,Erwin Schrodinger,Cambridge University Press,1946,,,Thermodynamics; Statistics; Nernst Theorem; Entropy; Radiation,L. Jacob,,Y
537.4,The Elements Of Thermodynamics,Charles Fabry,Frederick Muller Ltd. ,1951,,,Thermodynamics; Laws Of Thermodynamics; Fluid Mechanics,Ex-Libris,,Y
537.4,The Nature Of Thermodynamics,P. W. Bridgman,Harvard University Press,1943,,,Thermodynamics; Laws Of Thermodynamics; Entropy,Ex-Libris,,Y
537.4,Textbook Of Thermodynamics,Paul S. Epstein,John Wiley & Sons,1937,,,Thermodynamics; Material Physics; Laws Of Thermodynamics; Entropy; Equations Of State; Capillary Layer; Nernst Theorem; Specific Heats,Ex-Libris,,Y
537.4,Thermodynamics And Statistical Mechanics,A. H. Wilson,Cambridge University Press,1957,,,Thermodynamics; Laws Of Thermodynamics; Statistical Mechanics; Chemistry; Gas Laws,Ex-Libris,,Y
537.4,Introduction To Phase Transitions And Critical Phenomena,H. Eugene Stanley,Clarendon Press,1971,,,Thermodynamics; Fluid Mechanics; Critical-Point Exponents; Equations Of State; Field Theory; Phase Transitions,Ex-Libris,,Y
