IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
530,Modern University Physics,James A. Richards; Francis Weston Sears; M. Russell; Mark W. Zemansky,Addison-Weslley Publishing Co.,1960,,,Textbooks On Physics; Vectors; Classical Mechanics; Newtonian Dynamics; Projectile Motion; Simple Harmonic Motion; Elasticity; Wave Mechanics; Vibrations; Hydrostatics; Thermometers; Thermodynamics; Heat Capacity; Atomic Physics; Electromagnetism; Cathode Ray Tubes; Valve Circuits; Electronics; Magneti; Magnetism; Electromagnetic Radiation; Optics; Optical Instrumentation; Polarization; Diffraction; Quantum Mechanics; Relativity; Nuclear Physics; Cosmic Ray Physics,L. Jacob,,Y
530,College Physics,Robert L. Weber; Marsh W. White; Kenneth V. Manning,Mcgraw-Hill Publishing Co.,1959,,,Textbooks On Physics; Classical Mechanics; Fluid Mechanics; Vibrations; Thermodynamics; Heat Capacity; Wave Mechanics; Acoustics; Electromagnetism; Electricity; Optics; Optical Instrumentation; Polarization; Relativity; Quantum Mechanics; Atomic Physics; Solid State Physics; Nuclear Physics,,,Y
530,Physics For Science And Engineering Students,W. H. Furry; E. M. Purcell; J. C. Street,The Blakiston Company,1952,,,Textbooks On Physics; Kinematics; Classical Mechanics; Gravitation; Material Properties; Fluid Mechanics; Thermodynamics; Temperature Measurement; Kinetic Theory; Equations Of State; Phase Transitions; Wave Mechanics; Acoustics; Electrodynamics; Electromagnetism; Magnetism; Electromagnetic Radiation; Valve Circuits; Optics; Optical Instrumentation; Diffraction; Interference; Atomic Spectra; Quantum Mechanics; Atomic Physics; Nuclear Physics; Cosmic Ray Physics; Particle Physics,Patrick J. Nolan,,Y
530,The Air And Its Mysteries,C. M. Botley; Sir Richard Gregory,G. Bell And Sons,1938,,,Textbooks On Physics; Meteorology; Atmospheric Physics; Atmospheric Chemistry; Acoustics,Ex-Libris,Ml:?,Y
,"Fundamentals of Physics, , Problem Supplement No. 1", David Halliday; Robert Resnick; Jearl Walker, Wiley,2000, 6,,Textbooks On Physics; Classical Mechanics; Vectors; Particle Physics; Scattering Theory; Elasticity; Gravitation; Fluid Mechanics; Oscillations; Wave Mechanics; Thermodynamics; Heat Capacity; Kinetic Theory; Entropy; Electromagnetism; Electricity; Magnetism; Electromagnetic Radiation; Optics; Optical Instrumentation; Diffraction; Relativity,,Problem And Solutions Book,Y
530,Intermediate Physics,R. A. Houstoun,Longmans Green And Co.,1944,,,Textbooks On Physics; Kinematics; Units; Metrology; Classical Mechanics; Gravitation; Fluid Mechanics; Atmospheric Physics; Material Properties; Material Physics; Thermodynamics; Temperature Measurement; Gas Theory; Phase Transitions; Radiation; Wave Mechanics; Acoustics; Vibrations; Optics; Optical Instrumentation; Spectroscopy; Atomic Spectra; Electromagnetism; Magnetism; Electricity; Valve Circuits; Cathode Ray Tubes,Paul Allen,Ex Military Book,Y
530,Science At Your Service,Julian S. Huxley; Sir Edward Appleton; Sir George Burt; Sir Lawrence Bragg; Professor J. B. Speakman; Professor John Read; Dr. A. O. Rankine; Sir Nelson Johnson; Michael Graham; Dr. Albert Parker; J. L. Kent; G. L. Groves; E. C. Bullard,George Allen And Unwin Ltd.,1946,,,Textbooks On Physics; Daily Science; Plastics; Geology; Meteorology; Engineering,P. J. Nolan,,Y
530,"Thinking Like a Physicist, Physics Problems for Undergraduates", Thompson, Taylor & Francis,1999,,,Textbooks On Physics; Problem And Solutions Book,,,Y
530,A Text Book Of Physics,J. Duncan; S. G. Starling,Macmillan And Co.,1922,,5,Textbooks On Physics; Magnetism; Electromagnetism; Electricity,P. J. Nolan,,Y
530,Physiography For Beginners,A. T. Simmons,Macmillan And Co.,1905,,,Textbooks On Physics; Geography; Classical Mechanics; Radiation; Thermodynamics; Material Properties; Material Physics; Meteorology; Astronomy; Solar System Astronomy; Atmospheric Physics; Atmospheric Chemistry,Patrick J. Nolan,,Y
