539,The Fundamental Atomic Constants,J. H. Sanders,Oxford University Press,1965,Second,,Progress Reports In Atomic Physics; Early Measurements; Light Velocity; Precise Measurements,Ex-Libris,,M
539,Modern Physics,M. S. Smith,Longmans,1960,,,Progress Reports In Atomic Physics; Motion; Ions And Atoms; Quantum Theory; Wave Mechanics; Electrons; X-Rays; Atomic Nucleus; Nuclear Theory,Ex-Libris,,Y
539,Introductory Nuclear Theory,L. R. B. Elton,Sir Isaac Pitman And Sons,1965,Second,,Progress Reports In Atomic Physics; Nuclei; Two Nucleon Systems; Nuclear Forces; Nuclear Models; Nuclear Reactions; Beta Decay; Meson Theory,Ex-Libris,,Y
539,Atomic Physics,E. V. Shpol'Skii,London Iliffe Books,1969,539,,Progress Reports In Atomic Physics; Electron; Isotopes; X-Ray; Atoms; Black Body; Energy Quanta; Energy Levels; Waves And Particles; Schrodinger Equations,Ex-Libris,,Y
539,Nuclei And Particles: An Introduction To Nuclear And Subnuclear Physics,Emilio Segre,W. A. Benjamin,1964,,,Progress Reports In Atomic Physics; Rutherford Scattering; Ionization In Gases; Straggling; Gamma Ray Passage; Positron Annhiliation; Detecting Nuclear Radiation; Particle Accelerators; Radioactive Decay; Alpha Emission; Gamma Emission; Beta Decay; Nuclear Reactions; Neutrons; Muons; Pions,Ex-Libris,,Y
539,The Properties Of Nuclei,G. A. Jones,Clarendon Press,1977,,,Progress Reports In Atomic Physics; Nuclei Properties; Nuclear Models; Forces; Spontaneous Decay; Fission; Fusion,,,Y
539,Modern Mass Spectrometry,G. P. Barnard,The Institute Of Physics,1953,,,Progress Reports In Atomic Physics; Positive Ion Beams; Vacuum Techniques; Mass Spectrometry Problems; Measuring Ion Beams; Hydrocarbon Analysis; Isotopic Tracer Techniques,Ex-Libris,,Y
539,Electron Impact Phenomena And The Properties Of Gaseous Ions,F. H. Field; J. L. Franklin,Academic Press,1970,,,Progress Reports In Atomic Physics; Ionization Cross Section; Mass Spectrometric Apparatus; Bond Strength; Negative Ions; Mass Spectral Considerations; Chemical Reaction Implications,,,Y
539,Elements Of Nuclear Physics,Franco Rasetti,Blackie And Son,1937,,,Progress Reports In Atomic Physics; Atom And Nucleus; Radiation; Radioactive Disintegration; Alpha Beta Gamma; Artificial Disintegration Of Nuclei; Cosmic Rays,Ex-Libris,,Y
531.1,Minerals and the Microscope, Herbert Gladstone Smith, Allen & Unwin,1968, 4th Revised edition,,General Physics; Petrological Microscope; Refraction In Minerals; Rock Forming Minerals,,,M
531.1,Physics Experiments Using Pcs,H. M. Staudenmaier,Springer,1995,,,General Physics; Mechanics; Thermodynamics; Solid State Physics; Optics; Atomic Physics; Nuclear Physics,,,M
531.1,The Physics of Rubber Elasticity (Monographs on the Physics and Chemistry of Materials), L. R. G Treloar, Oxford University Press,1975,3,,General Physics; Rubber Properties; Entropy Changes; Long Chain Molecules; Molecular Network Elasticity; Swelling Phenomena; Cross Links; Photoelastic Rubber Properties; Shear; Torsion; Gaussian Network,,,Y
531.1,Errors Of Observation And Their Treatment,J. Topping,Chapman And Hall Ltd,1965,Third,,General Physics; Obervational Error; Statistical Ideas; Error Theory,M,,M
531.1,The World Of High Pressure,John W. Stewart,D. Van Nostrand Co.,1967,,,General Physics; High Pressure Production; High Pressure Measurement; Pressure Volume Temperature; Electrical Effects Of High Pressure,,,Y
531.1,Elementary Physics,G. Stead,J. And A. Churchill Ltd,1948,Seventh,,General Physics; Units And Dimensions; Mechanics; Gravity; Friction; Hydrostatics; Matter Properties; Heat; Sound; Light; Electrostatics; Radioactivity; X-Ray,Seamus L. O'Connor,,Y
531.1,Air Currents And The Laws Of Ventilation,W. N. Shaw,Cambridge University Press,1907,,,General Physics; Flow In Air Circuits; Ventilated Spaces; Practical Ventilation,James T. Mcgukin,,Y
531.1,Thermodynamics,Gordon J. Van Wylen,John Wiley And Sons,1963,,,General Physics; Liquid Propellant Rocket; Thermodynamics; Pressure; Zeroth Law; Pure Substances; Work And Heat; First Law Of Thermodynamics; Second Law Of Thermodynamics; Entropy; Ideal Gas; Efficiency; Reciprocating Machine; Refrigeration Cycle; Nozzle Flow; Combustion; Equilibrium,,,Y
531.1,Kinematics And Dynamics Of Satellite Orbits,Various Authors,American Institute Of Physics,1963,,,General Physics; Orbits; Satellites; Research Papers,,,M
531.1,Handbook Of Chemistry And Physics,Robert C. Weast; Samuel M. Selby; Charles D. Hodgman,The Chemical Rubber Co.,1965,Forty Sixth,,General Physics; Chemistry Data; Isotopes; Calculus,,,M
531.1A,Lattice Theories Of The Liquid State,J. A. Barker,Pergamon Press,1963,,1,Properties Of Matter; Monte Carlo; Lennard Jones; Variational Theory; Cell Model; Cell Cluster Theory; Tunnel Theory; Radial Distribution Function; Quantum Effects,,,M
531.1A,Advanced Experiments In Practical Physics,J. E. Calthrop,William Heinemann,1952,Second,,Properties Of Matter; Matter And Heat Properties; Light; Electricity; Magnetism; Experiments,Ex-Libris,,Y
531.1A,Properties Of Matter,F. C. Champion; N. Davy,Blackie And Son,1944,,,Properties Of Matter; Units And Dimensions; Acceleration Due To Gravity; Newtonian Constants; Elasticity; Solid And Liquid Compression; Seismic Waves; Capillarity; Surface Films; Kinetic Theory; Osmotic Pressure; Diffusion; Viscosity; Errors,N. A. Porter,,Y
531.1B,Physical Similarity And Dimensional Analysis,W. J. Duncan,Edward Arnold,1955,,,Dimensional Analysis; Units; Geometry; Kinematic Similarity; Newtonian Dynamics; Dimensional Analysis; Fluid Motion; Pi Theorem; Heat; Electromagnetism,Ex-Libris,,
531.1A,An Introduction To The Liquid State,P. A. Egelstaff,Academic Press,1967,,,Properties Of Matter; Liquid Properties; Molecular Distribution Function; Equation Of State; Pair Potential Function; Equilibrium Properties; Space And Time Dependant Correlation; Diffusion; Velocity Correlation; Quantum Liquids,Ex-Libris,,Y
531.1A,Thin Film Physics., O.S. Heavens, Methuen young books,1970,,,Properties Of Matter; Film Preparation; Examining Film; Growth And Structure Of Film; Mechanical Properties; Optical Properties; Magnetic Properties; Electric Properties; Thin Film,Ex-Libris,,Y
531.1A,Physics Of High Pressures And The Condensed Phase,A. Van Itterbeek,North Holland Publishing Co.,1965,,,Properties Of Matter; High Pressure Techniques In General; Mechanical Properties Of Metals; Equation Of State Of Liquid Gas; Solidified Gas At High Pressure; Liquid State; Velocity Of Sound In Dense Fluids; Liquid Helium; Dolid Helium; Transport Phenomena; Absorption In Infra Red; Superconductivity,Ex-Libris,,Y
531.1A,The General Properties Of Matter,F. H. Newman; V. H. L. Searle,Edward Arnold,1951,Fourth,,Properties Of Matter; Gravity Acceleration; Gyroscopic Motion; Surface Tension; Viscosity; Fouriers Theorem; Osmosis; Diffusion; Equations Of Motion; Wave Motion; Units And Dimensions,N. A. Porter,,Y
531.1,Modern Physics,H. A. Wilson,Blackie And Son,1946,Second,,General Physics; Electron Theory; Magnetism; Thermionics; Photoelectricity; Quantum Theory; X-Ray; Gamma Rays; Optical Spectra; Positive Rays; Atomi Nuclei; Electron Motion In Gas; Atmospheric Electricity; Relativity,N. A. Porter,,Y
510,Statistics: A guide to the unknown (Holden-Day series in probability and statistics), Tanur Judith, Holden-Day,1978, 2nd,,Mathmatics; Statistics ; General Life,D. M. Duggan,,M
520,Solar System (Opus Books), Zdenek Kopal, Oxford University Press,1973,,,Astronomy; Major Planets; Earth; Venus; Mars; Mercury; Moon; Pluto; Asteroids; Comets; Origin Of Solar System,Ex-Libris,,Y
510,Mathematics For Engineers Part 2,W. N. Rose,Chapman And Hall,1945,Fourth,2,Mathmatics; Differentiation; Integration; Mean Values; Polar Coordinates; Harmonic Analysis; Least Squares,L. Jacob,Doesn'T Use Si,M
510,Textbook Of Fluids Dynamics,Frank Chorlton,D. Van Nostrand Co.,1967,,,Mathmatics; Vector Analysis; Kinematics Of Fluids; Equations Of Motion Of Fluids; Three Dimensional Flow; Thermodynamics; Gas Dynamics; Viscous Flow; Magnetohydrodynamics,D. Duggan,,
510,Calculus: One And Several Variables With Analytic Geometry Part 1,S. L. Salas; Einar Hille,John Wiley And Sons,1978,Third,1,Mathmatics; Limits; Continuity; Differentiation; Integration; Functions; Conic Sections; Polar Coordinates; Infinite Series; Sequences,,,Y
510,Real Analysis,Serge Lang,Addison Wesley Publishing,1973,,,Mathmatics; General Topology; Banach Spaces; Calculus; Functional Analysis; Integration; Global Analysis,,,Y
531.1A,A Text Book Of Physics,J. H. Poynting; J. J. Thomson,Charles Griffin And Co.,1922,Ninth,,Properties Of Matter; Weight ; Mass; Gravity; Elasticity; Strain; Torsion; Impact; Liquid Compressibility; Capillarity; Liquid And Gas Diffusion; Viscosity,N. A. Porter,,Y
531.1A,A General Degree Physics: The General Properties Of Matter,C. J. Smith,Edward Arnold,1953,,1,Properties Of Matter; Particle Dynamics; Rigid Dynamics; Simple Harmonic Motion; Gravity; Elasticity; Compressibility; Surface Tension; Flow; Vacuums,Ex-Libris,,Y
531.1A,Dynamics Of Real Fluids,E. G. Richardson,Edward Arnold,1961,Second,,Properties Of Matter; Small Viscosity; Compressible Fluid Flow; Hypersonic Flow; Aerodynamic Noise; Free Surface Fluids; Suspensions; Elastic Liquids; Magnetohydrodynamics,Ex-Libris,,Y
531.1A,The General Properties Of Matter,F. H. Newman; V. H. L. Searle,Edward Arnold,1963,Fifth,,Properties Of Matter; Gravity; Gyroscopic Motion; Elasticity; Surface Tension; Viscosity; Kinetic Theory Of Matter; Fouriers Theorem; Osmosis; Diffusion; Equations Of Motion; Wave Motion; Units; Dimensions,Myles O'Carm,,Y
531.1,"“The Emperor's New Mind: Concerning Computers, Minds, and the Laws of Physics”", Roger Penrose, Oxford University Press,1989, Reprint.,,General Physics; Algorithms; Turing Test; Proof; Hilberts Programme; Cosmology; Quantum Gravity; The Mind,Neil Porter,,M
538,Electricity and Magnetism, Betty I. Bleaney; B. Bleaney, Oxford University Press,1976, 3rd,,Electricity And Magnetism; Electrostatics; Current; Voltage; Magnetostatics; Dielectrics; Induction; Ac; Band Theory Of Metals; Superconductivity; Paramagnetism; Ferromagnetism; Semiconductors; Noise; Fluctuations,,,Y
,Electricity,Charles A. Coulson,Oliver And Boyd,1956,,,Electromag; Electrostatics; Dipoles; Conductors; Dielectrics; Permanent Magnets; Induction; Maxwells Equations; Ac,,,Y
,The Principles Of Electromagnetic Theory And Of Relativity,Marie Antoinette Tonnelat,D. Reidel Publishing Co.,1966,,,Electromag; Electrostatics; Magnetostatics; Lorentz Theory; Special Relativity; Relativistic Dynamics; Relativistic Kinematics; General Relativity,T. E. Nevin,,Y
,Electromangtic Fields And Interactions,Richard Becker,Blackie,1964,,1,Electromagnetic; Vectors; Tensor Calculus; Electrostatic Field; Dielectrics; Magnetic Field; Relativity,T. E. Nevin,,Y
,Electromagnetic Fields And Interactions,Richard Becker,Blackie,1964,,2,Electromag; Electron Theory; Hamiltonian; Quantum Mechanics; Electron Spin; Radiation; Absorption; Emission; Relativstic Electron,T. E. Nevin,,Y
,Makers Of Science: Electricity And Magnetism,D. M. Turner,Oxford University Press,1927,,,Electromag; Electrostatics; Induction; Electrolysis; Conducting Electricity Through Gas; Maxwell,T. E. Nevin,,Y
,Electromagnetism, I. S. Grant; W. R. Phillips, Wiley,1991,Second,,Electromag; Electrostatics; Dielectrics; Magnetic Field; Magnetic Materials; Induction; Ac; Linear Circuits; Maxwells Equations; Waveguide; Special Relativity,,,Y
,Modern Magnetism,L. F. Bates,Cambridge University Press,1951,Third,,Electromag; Magnetism; Magnetic Fields; Isotropic Substances; Crystals; Single Particles; Nuclear Spin; Gyromagnetic; Lattice And Spin Interaction; Hysterisis Cycle,T. E. Nevin,,Y
,Electricity And Magnetism,B. I. Bleaney; B. Bleaney,Oxford Clarendon Press,1957,,,Electromag; Electrostatics; Conductors; Induction; Ac; Thermionic Vacuum Tubes; Noise; Dielectric; Solid State Conduction; Paramagnetism; Ferromagnetism; Resonance,R. Burgess,,Y
,Theoretical Physics,Georg Joos,Blackie And Son,1934,,,Theoretical Physics; Vector Analysis; Mechanics; Optical Phenomena; Electricity; Heat; Structure Of Atoms And Molecules; Nuclear Physics,T. E. Nevin,,Y
