IDnumb,Title,Author,Publisher,Year,Edition,Volume,subjects,Donor,Comment,Relevance 
,University Physics,Harris Benson,John Wiley And Sons,1991,,,General Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,Alex Montwill,Text Book,Y 
530,Essentials Of Physics (Addison-Wesley Series In Physics), Sidney Borowitz, Addison-Wesley Educational Pub,1971, International 2 Revised Ed,,Textbooks On Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,,Text Book,Y 
,Principles Of Physics, Frederick J. Bueche;  David Jerde, Mcgraw-Hill Education (Ise Editions),1994, 6Rev Ed,,General Physics; Classical Mechanics; Particle Physics; Oscillations; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Maxwells Equations; Light; Special Relativity; Quantum Mechanics; Nuclear Physics,Alex Montwill,Text Book,Y 
,Physics,K. R. Atkins,John Wiley And Sons,1965,2,,General Physics; Particle Physics; Mechanics; Atomic Physics; Electromagnetism; Wave Mechanics; Relativity; Quantum Mechanics; Nuclear Physics,M. Hoey,Text Book,Y 
530,Concepts Of Modern Physics,Arthur Beiser,Mcgraw-Hill Book Company,1967,2,,Textbooks On Physics; Atomic Theory; Quantum Mechanics; Special Relativity; Wave/Particle Duality; Solid State Physics; Molecular Physics; Nuclear Physics,M. Hoey,,Y 
,Ordinary Level Physics, A.F. Abbott, Heinemann Educational Publishers,1977, 3Rd,,General Physics; Classical Mechanics; Thermodynamics; Optics; Wave Mechanics; Electromagnetism; Atomic Physics; Nuclear Physics,,Text Book,Y 
530,General Physics, G.F. Aitchison, Chapman And Hall,1970,,,Textbooks On Physics;General Physics;Particle Physics;Wave Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
General Physics,Physics,Marcelo Alonso; Edward J. Finn,Addison-Weslley Publishing Co.,1970,,,General Physics;Classical Mechanics;Particle Physics;Oscillations;Wave Mechanics;Thermodynamics;Electromagnetism;Quantum Mechanics,Patrick Burke,Text Book,Y 
,Modern Physics: An Introductory Survey,Arthur Beiser,Addison-Wesley Publishing Co. ,1968,,,General Physics;Electromagnetism;Relativity;Quantum Mechanics;Atomic Physics;Solid State Physics;Nuclear Physics;Particle Physics,Alex Montwill,,Y 
,The Mainstream Of Physics,Arthur Beiser,Addison-Weslley Publishing Co.,1962,,,General Physics;Classical Mechanics;Wave Mechanics;Thermodynamics;Electromagnetism;Optics;Relativity;Atomic Physics;Nuclear Physics;Particle Physics,,Text Book,Y 
,College Physics,Robert T. Beyer;A. O. Williams Jr.,Prentice-Hall Inc.,1957,,,General Physics;Classical Mechanics;Fluid Mechanics;Thermodynamics;Optics;Electromagnetism;Electricity;Electronics;Molecular Physics;Nuclear Physics;Astrophysics;Spectroscopy,T. E. Nevin,Text Book,Y 
530,Fundamental Laws Of Physics,F. Woodbridge Constant,Addison-Wesley Pubilshing Co.,1963,,,Textbooks On Physics;Classical Mechanics;Experimental Method;Wave Mechanics;Electromagnetism;Relativity;Quantum Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,1,Textbooks On Physics;Classical Mechanics,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,2,Textbooks On Physics;Wave Mechanics;Electromagnetism,Ex-Libris,Text Book,Y 
530,Fundamental University Physics,Marcelo Alonso;Edward J. Finn,Addison-Weslley Publishing Co.,1967,,3,Textbooks On Physics;Quantum Mechanics;Statistical Physics;Atomic Physics;Nuclear Physics;Thermodynamics,Ex-Libris,Text Book,Y 
,Physics 1,Elisha R. Huggins,W. A. Benjamin Inc.,1968,,,General Physics;Classical Mechanics;Relativity;Special Relativity;Atomic Physics;Wave Mechanics;Particle Physics;Chemical Physics;Quantum Mechanics,Patrick Burke,Text Book,Y 
,Introduction To Concepts And Theories In Physical Science,Gerald Holton,Addison-Wesley Publishing Co.,1956,4th,,General Physics;Classical Mechanics;Orbital Mechanics;Atomic Physics;Quantum Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
530,Introduction To Concepts And Theories In Physical Science,Gerald Holton,Addison-Wesley Publishing Co.,1958,5th,,General Physics;Classical Mechanics;Orbital Mechanics;Atomic Physics;Quantum Mechanics;Nuclear Physics,Ex-Libris,Text Book,Y 
,Physics With Modern Applications, Leonard H. Greenberg, Thomson Learning,1978,,,; General Physics;Classical Mechanics;Wave Mechanics;Fluid Mechanics;Optics;Electromagnetism;Nuclear Physics;Atomic Physics;Special Relativity,D. M. Duggan,Text Book,Y 
,College Physics (International Edition), Nicholas Giordano, Thomson Wardsworth,2009,,,General Physics; Classical Mechanics; Wave Mechanics; Fluid Mechanics; Thermodynamics; Electromagnetism; Optics; Relativity; Atomic Physics; Nuclear Physics,,Text Book,Y 
,Physics For Scientists & Engineers, Paul M. Fishbane; Stephen Gasiriowicz, Prentice Hall,1995, 2Nd,,General Physics; Classical Mechanics; Wave Mechanics; Fluid Mechanics; Thermodynamics; Electronics; Optics; Electromagnetism; Quantum Mechanics; Special Relativity,,Text Book,Y 
,Physics For Scientists & Engineers: Solution Manual,Paul M. Fishbane; Stephen Gasiriowicz,Prentice Hall,1995,2,,General Physics; Classical Mechanics; Wave Mechanics; Fluid Mechanics; Thermodynamics; Electronics; Optics; Electromagnetism; Quantum Mechanics; Special Relativity,,Solution Book,Y 
,Physics,Douglas C. Giancoli,Pearson Hall Publishers,2005,6Th,,General Physics; Classical Mechanics; Orbital Mechanics; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electronics; Electromagnetism; Optics; Special Relativity; Quantum Mechanics; Nuclear Physics; Astrophysics; Particle Physics,,Text Book,Y 
,Physics For Science And Engineering Students,W. H. Furry'; 'E. M. Purcell'; 'J. C. Street,The Blakiston Co.,1952,,,General Physics; Classical Mechanics; Orbital Mechanics; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electronics; Electromagnetism; Optics; Special Relativity; Quantum Mechanics; Nuclear Physics; Astrophysics; Particle Physics,Ex-Libris,Text Book,Y 
,The Physics Problem Solver (Problem Solvers Solution Guides), Joseph Molitoris, Research & Education Association,1978, Revised,,General Physics; Classical Mechanics; Thermodynamics; Optics; Electromagnetism; Wave Mechanics; Quantum Mechanics; Nuclear Physcis; Relativity; Electronics,,Problem And Solutions Book,Y 
,"The Feynman Lectures On Physics, Vol. 3", Richard P. Feynman; Robert B. Leighton; Matthew Sands, Addison Wesley,1971,,3,General Physics; Quantum Mechanics,,Everything You Need To Know About Quantum Qed,Y 
,Physics For Scientists & Engineers: Extended Edition, Paul M. Fishbane; Stephen Gasiriowicz, Prentice Hall,1993,,,General Physics; Classical Mechanics; Wave Mechanics; Fluid Mechanics; Thermodynamics; Electronics; Optics; Electromagnetism; Quantum Mechanics; Special Relativity,,Text Book,Y 
,College Physics, Jerry S. Faughn, Brooks Cole,2005, International Ed,,General Physics; Classical Mechanics; Thermodynamics; Optics; Wave Mechanics; Electromagnetism; Electronics; Relativity; Quantum Mechanics; Atomic Physics,,Text Book,Y 
,Physics For Engineers And Scientists, Dennis Elwell; Anthony John Pointon," Ellis Horwood Ltd , Publisher",1978, 2Nd,,General Physics; Thermodynamics; Material Physics; Wave Mechanics; Atomic Physics; Nuclear Physis; Solid State Electronics; Electromagnetism; Dielectrics,M. Hoey,Text Book,Y 
530,Physics, John D. Cutnell; Kenneth W. Johnson, Wiley,1994, 2 Volume Set,,Textbooks On Physics; General Physics; Classical Mechanics; Fluid Mechanics; Thermodynamics; Wave Mechanics; Electromagnetism; Electronics; Optics; Special Relativity; Atomic Physics; Nuclear Physics,Ex-Libris,Text Book,Y 
530,Physics,Physical Science Study Committee,D. C. Heath And Co.,1960,,,Textbooks On Physics; General Physics; Optics; Classical Mechanics; Electronics; Electricity,Ex-Libris,5 Copies,Y 
,Physics (V. 2)," R Resnick, K S Krane D Halaiday"," John Wiley & Sons,",1992, 2Nd,2 Extended,General Physics; Electronics; Electricity; Electromagnetism; Optics; Atomic Physics; Nuclear Physics; Cosmology,,Text Book,Y 
,Physics (V. 1), Resnick; Halliday; Krane, John Wiley And Sons Ltd,1992, 4Th,1,General Physics; Classical Mechanics; Motion; Particle Physics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics,Alex Montwill,Text Book,Y 
,Fundamentals Of Physics,David Halliday'; 'Robert Resnick'; 'Jearl Walker,Fundamentals Of Physics,1993,4,,General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Relativity; Maxwells Equations,,Text Book,Y 
530,Fundamentals Of Physics,David Halliday'; 'Robert Resnick,John Wiley And Sons Ltd,1970,1,,Textbooks On Physics; General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Relativity; Maxwells Equations,Ex-Libris,Text Book,Y 
530,Physics,John D. Cutnell;Kenneth W. Johnson,John Wiley And Sons Co.,1997,4Th,,Textbooks On Physics;Classical Mechanics;Fluid Mechanics;Thermodynamics;Wave Mechanics;Electromagnetism;Electronics;Special Relativity;Atomic Physics;Nuclear Physics,Ex-Libris,Text Book,Y 
531.1,"Fundamentals Of Physics, Extended", David Halliday; Robert Resnick; Jearl Walker, Wiley,1996, 5Th,,General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Relativity; Maxwells Equations,Ex-Libris,3 Copies,Y 
,Physics: Combined Edition,David Halliday ; Robert Resnick,John Wiley And Sons Co.,1966,1,,General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Quantum Mechanics,,Poor Condition,Y 
,Physics: Part 1,David Halliday ; Robert Resnick,John Wiley And Sons Co.,1966,1,,General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Quantum Mechanics,,Text Book,Y 
,Physics: Part 2,David Halliday ; Robert Resnick,John Wiley And Sons Co.,1966,1,,General Physics; Classical Mechanics; Oscillations; Fluid Mechanics; Wave Mechanics; Thermodynamics; Electromagnetism; Electronics; Optics; Quantum Mechanics,,Text Book,Y 
,Physics,G. T. P. Tarrant,J. M. Dent And Sons,1938,2,,General Physics; Classical Mechanics; Material Physics; Optics; Thermodynamics,H. Deas,Text Book,Y 
530,Elements Of Physics,Robert F. Kingsbury,D. Van Nostrand Co.,1965,1,,Textbooks On Physics; General Physics; Optics; Wave Mechanics; Classical Mechanics; Fluid Mechanics; Thermodynamics; Atomic Physics; Electricity; Electronics; Quantum Mechanics; Nuclear Physics,Ex-Libris,Text Book,Y 
,Problems And Solutions In General Physics,Simon G. G. Macdonald,Addison-Weslley Publishing Co.,1967,,,General Physics; Material Physics; Thermodynamics; Wave Mechanics; Classical Mechanics; Electromagnetism; Optics; Quantum Mechanics; Nuclear Physics,Ex-Libris,Problem And Solutions Book,Y 
